t,cmd_ts,cmd_age_ms,cmd_fresh,ramping,target_0,target_1,target_2,target_3,target_4,target_5,target_6,applied_0,applied_1,applied_2,applied_3,applied_4,applied_5,applied_6,meas_0,meas_1,meas_2,meas_3,meas_4,meas_5,meas_gripper,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,eff_0,eff_1,eff_2,eff_3,eff_4,eff_5
1787275027.462944,,,0,0,,,,,,,,,,,,,,,0.002480,0.404936,0.285916,0.300412,-0.001717,-0.010872,0.994941,-0.007326,0.212454,0.109890,0.168498,-0.007326,0.051282,-0.266667,1.661538,10.304274,2.483516,0.002442,0.144078
1787275027.467896,,,0,0,,,,,,,,,,,,,,,0.002480,0.406462,0.287060,0.301175,-0.001717,-0.010109,0.994941,-0.007326,0.183150,0.153846,0.109890,-0.007326,0.080586,-0.252991,1.675214,10.126496,2.459096,0.007326,0.105006
1787275027.472897,,,0,0,,,,,,,,,,,,,,,0.002480,0.407225,0.287442,0.301556,-0.001717,-0.009346,0.994941,-0.002442,0.173382,0.158730,0.124542,-0.007326,0.124542,-0.252991,1.620513,10.126496,2.454212,0.007326,0.080586
1787275027.477896,,,0,0,,,,,,,,,,,,,,,0.002480,0.407607,0.288205,0.301938,-0.001717,-0.009346,0.995012,-0.002442,0.168498,0.139194,0.080586,0.007326,0.080586,-0.252991,1.593162,10.112821,2.468864,0.007326,0.061050
1787275027.482895,,,0,0,,,,,,,,,,,,,,,0.002480,0.409133,0.289349,0.301938,-0.001717,-0.008965,0.995012,-0.002442,0.188034,0.173382,0.021978,-0.007326,0.051282,-0.252991,1.456410,9.894017,2.527473,-0.007326,0.051282
1787275027.487895,,,0,0,,,,,,,,,,,,,,,0.002480,0.409895,0.290112,0.302319,-0.001717,-0.008965,0.994941,-0.007326,0.192918,0.158730,0.036630,-0.007326,0.021978,-0.266667,1.415385,9.880342,2.537241,-0.007326,0.061050
1787275027.492894,,,0,0,,,,,,,,,,,,,,,0.002480,0.411040,0.291257,0.302701,-0.001717,-0.008583,0.995012,-0.002442,0.168498,0.158730,0.036630,-0.021978,0.007326,-0.252991,1.388034,9.743590,2.527473,-0.002442,0.095238
1787275027.497898,,,0,0,,,,,,,,,,,,,,,0.002480,0.411803,0.291638,0.303082,-0.001717,-0.008583,0.994941,-0.007326,0.153846,0.134310,0.080586,0.007326,0.036630,-0.252991,1.388034,9.784615,2.507937,0.007326,0.105006
1787275027.502907,,,0,0,,,,,,,,,,,,,,,0.002480,0.412184,0.292020,0.303464,-0.001717,-0.008583,0.995012,0.002442,0.144078,0.119658,0.080586,-0.007326,0.007326,-0.266667,1.360684,9.784615,2.483516,0.002442,0.105006
1787275027.507897,,,0,0,,,,,,,,,,,,,,,0.002480,0.412947,0.293164,0.304227,-0.001717,-0.008202,0.994941,-0.007326,0.119658,0.134310,0.109890,-0.007326,0.036630,-0.266667,1.374359,9.729915,2.410256,0.002442,0.100122
1787275027.512898,,,0,0,,,,,,,,,,,,,,,0.002480,0.412947,0.293164,0.304227,-0.001717,-0.008202,0.994941,-0.007326,0.119658,0.134310,0.109890,-0.007326,0.036630,-0.266667,1.374359,9.729915,2.410256,0.002442,0.100122
1787275027.517901,,,0,0,,,,,,,,,,,,,,,0.002480,0.414473,0.293927,0.305371,-0.001717,-0.008202,0.994941,-0.002442,0.124542,0.095238,0.080586,-0.021978,-0.007326,-0.252991,1.264957,9.798291,2.385836,0.002442,0.114774
1787275027.522894,,,0,0,,,,,,,,,,,,,,,0.002480,0.414473,0.293927,0.305371,-0.001717,-0.008202,0.994941,-0.002442,0.124542,0.095238,0.080586,-0.021978,-0.007326,-0.252991,1.264957,9.798291,2.385836,0.002442,0.114774
1787275027.527897,,,0,0,,,,,,,,,,,,,,,0.002480,0.414855,0.294308,0.305371,-0.001717,-0.008202,0.995012,-0.002442,0.109890,0.100122,0.065934,-0.021978,0.007326,-0.252991,1.305983,9.716239,2.385836,0.002442,0.114774
1787275027.532902,,,0,0,,,,,,,,,,,,,,,0.002480,0.415618,0.295071,0.305753,-0.001717,-0.007820,0.995012,-0.002442,0.100122,0.075702,0.036630,-0.007326,0.007326,-0.252991,1.278632,9.757265,2.390720,0.002442,0.114774
1787275027.537895,,,0,0,,,,,,,,,,,,,,,0.002480,0.415999,0.295453,0.305753,-0.001717,-0.007820,0.994941,-0.007326,0.090354,0.080586,0.036630,0.007326,-0.007326,-0.266667,1.264957,9.702564,2.405372,-0.002442,0.114774
1787275027.542898,1787275027.541058,1.840,1,1,0.002480,0.415999,0.295453,0.305753,-0.001717,-0.007820,1.000000,0.002480,0.416381,0.295834,0.305753,-0.001717,-0.007820,0.995012,0.002480,0.416381,0.295834,0.305753,-0.001717,-0.007820,0.995012,-0.002442,0.080586,0.090354,0.007326,-0.021978,0.021978,-0.252991,1.278632,9.675214,2.415140,-0.002442,0.109890
1787275027.547895,1787275027.546074,1.821,1,1,0.002480,0.416381,0.295834,0.305753,-0.001717,-0.007820,1.000000,0.002480,0.416381,0.295834,0.305753,-0.001717,-0.007820,0.995029,0.002480,0.416762,0.296597,0.306516,-0.001717,-0.007820,0.994941,-0.002442,0.046398,0.085470,0.036630,-0.007326,0.007326,-0.266667,1.401709,9.675214,2.390720,0.007326,0.100122
1787275027.552894,1787275027.551379,1.515,1,1,0.002480,0.416762,0.296597,0.306516,-0.001717,-0.007820,1.000000,0.002480,0.416383,0.295839,0.305758,-0.001717,-0.007820,0.995046,0.002480,0.416762,0.296597,0.306516,-0.001717,-0.007439,0.994941,-0.002442,0.036630,0.056166,0.021978,-0.007326,0.021978,-0.266667,1.415385,9.743590,2.390720,0.002442,0.100122
1787275027.557894,1787275027.556626,1.268,1,1,0.002480,0.416762,0.296597,0.306516,-0.001717,-0.007439,1.000000,0.002480,0.416384,0.295842,0.305760,-0.001717,-0.007816,0.995062,0.002480,0.417525,0.296216,0.303082,-0.001717,-0.007820,0.994870,0.002442,0.080586,-0.021978,-0.402930,-0.007326,-0.021978,-0.184615,2.044444,7.459829,1.594628,-0.012210,0.051282
1787275027.562895,1787275027.561027,1.868,1,1,0.002480,0.417525,0.296216,0.303082,-0.001717,-0.007820,1.000000,0.002480,0.416396,0.295839,0.305717,-0.001717,-0.007820,0.995079,0.002480,0.417906,0.296216,0.300793,-0.001717,-0.007820,0.994870,-0.002442,0.090354,-0.026862,-0.520147,-0.021978,-0.021978,-0.157265,2.263248,6.529915,1.482295,-0.012210,0.026862
1787275027.567894,1787275027.566027,1.868,1,1,0.002480,0.417906,0.296216,0.300793,-0.001717,-0.007820,1.000000,0.002480,0.416406,0.295841,0.305670,-0.001717,-0.007820,0.995096,0.002480,0.418288,0.296216,0.299649,-0.001717,-0.007439,0.994870,-0.002442,0.065934,0.012210,-0.212454,-0.007326,-0.007326,-0.088889,2.427350,5.846154,1.438339,-0.021978,0.007326
1787275027.572895,1787275027.571028,1.868,1,1,0.002480,0.418288,0.296216,0.299649,-0.001717,-0.007439,1.000000,0.002480,0.416419,0.295842,0.305631,-0.001717,-0.007813,0.995112,0.002480,0.418288,0.296216,0.299649,-0.001717,-0.007439,0.994870,-0.002442,0.065934,0.012210,-0.212454,-0.007326,-0.007326,-0.088889,2.427350,5.846154,1.438339,-0.021978,0.007326
1787275027.577895,1787275027.576083,1.812,1,1,0.002479,0.412947,0.293164,0.304227,-0.001717,-0.008202,1.000000,0.002480,0.416300,0.295772,0.305717,-0.001717,-0.007829,0.995129,0.002480,0.418669,0.296216,0.298123,-0.001717,-0.007820,0.994870,-0.002442,0.065934,0.002442,-0.285714,-0.007326,-0.021978,-0.075214,2.454701,5.791453,1.438339,-0.026862,-0.002442
1787275027.582895,1787275027.581027,1.868,1,1,0.002479,0.413703,0.293595,0.303580,-0.001717,-0.008094,1.000000,0.002480,0.416309,0.295775,0.305695,-0.001717,-0.007828,0.995145,0.002480,0.419051,0.296216,0.294690,-0.001717,-0.007820,0.994870,0.002442,0.046398,-0.002442,-0.388278,-0.051282,-0.021978,-0.061538,2.523077,5.764103,1.560440,-0.017094,-0.007326
