t,cmd_ts,cmd_age_ms,cmd_fresh,ramping,target_0,target_1,target_2,target_3,target_4,target_5,target_6,applied_0,applied_1,applied_2,applied_3,applied_4,applied_5,applied_6,meas_0,meas_1,meas_2,meas_3,meas_4,meas_5,meas_gripper,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,eff_0,eff_1,eff_2,eff_3,eff_4,eff_5
1787275027.539121,,,0,0,,,,,,,,,,,,,,,-0.006676,0.406462,0.287823,0.296597,-0.011254,-0.020027,0.997354,-0.002442,0.197802,0.236874,0.197802,-0.021978,0.007326,0.458120,1.661538,9.675214,2.634921,0.085470,0.173382
1787275027.544072,1787275027.541058,3.015,1,1,-0.006676,0.406462,0.287823,0.296597,-0.011254,-0.020027,1.000000,-0.006676,0.407225,0.288586,0.297360,-0.010872,-0.020027,0.997354,-0.006676,0.407225,0.288586,0.297360,-0.010872,-0.020027,0.997354,-0.002442,0.192918,0.236874,0.227106,-0.007326,-0.007326,0.458120,1.579487,9.661538,2.586081,0.090354,0.173382
1787275027.549072,1787275027.546074,2.997,1,1,-0.006676,0.407225,0.288586,0.297360,-0.010872,-0.020027,1.000000,-0.006676,0.407225,0.288586,0.297360,-0.010872,-0.020027,0.997363,-0.006676,0.408751,0.290494,0.298505,-0.010872,-0.020027,0.997354,-0.002442,0.197802,0.222222,0.139194,-0.007326,0.021978,0.458120,1.497436,9.511111,2.542125,0.085470,0.178266
1787275027.554071,1787275027.551379,2.692,1,1,-0.006676,0.408751,0.290494,0.298505,-0.010872,-0.020027,1.000000,-0.006676,0.407235,0.288599,0.297368,-0.010872,-0.020027,0.997372,-0.006676,0.409133,0.291257,0.299268,-0.010872,-0.020027,0.997354,-0.002442,0.168498,0.212454,0.197802,-0.007326,-0.007326,0.471795,1.524786,9.483761,2.507937,0.085470,0.173382
1787275027.559075,1787275027.556626,2.449,1,1,-0.006676,0.409133,0.291257,0.299268,-0.010872,-0.020027,1.000000,-0.006676,0.407244,0.288613,0.297379,-0.010872,-0.020027,0.997380,-0.006676,0.409895,0.291638,0.298886,-0.010872,-0.020027,0.997282,-0.007326,0.153846,0.183150,0.036630,0.007326,-0.007326,0.389744,1.620513,8.280342,1.887668,0.070818,0.139194
1787275027.564072,1787275027.561027,3.045,1,1,-0.006676,0.409895,0.291638,0.298886,-0.010872,-0.020027,1.000000,-0.006676,0.407261,0.288627,0.297381,-0.010872,-0.020027,0.997389,-0.006676,0.411421,0.291638,0.294690,-0.011254,-0.020409,0.997282,-0.017094,0.173382,0.031746,-0.476190,-0.007326,-0.065934,0.211966,1.798291,6.064957,1.291819,0.031746,0.085470
1787275027.569075,1787275027.566027,3.048,1,1,-0.006676,0.411421,0.291638,0.294690,-0.011254,-0.020409,1.000000,-0.006676,0.407295,0.288637,0.297316,-0.010878,-0.020034,0.997398,-0.006676,0.411803,0.292020,0.294308,-0.011254,-0.020409,0.997282,-0.017094,0.168498,0.036630,-0.300366,-0.007326,-0.007326,0.143590,1.839316,5.613675,1.282051,0.021978,0.070818
1787275027.574092,1787275027.571028,3.065,1,1,-0.006676,0.411803,0.292020,0.294308,-0.011254,-0.020409,1.000000,-0.006676,0.407317,0.288655,0.297299,-0.010880,-0.020035,0.997407,-0.006676,0.412947,0.293164,0.293927,-0.011254,-0.020409,0.997282,-0.007326,0.124542,0.114774,-0.124542,-0.021978,-0.036630,0.034188,1.935043,5.052991,1.135531,-0.002442,0.031746
1787275027.579073,1787275027.576083,2.990,1,1,-0.000028,0.397347,0.538364,-0.141024,-0.000023,0.000006,1.000000,-0.006521,0.406995,0.294415,0.287131,-0.010619,-0.019560,0.997416,-0.006676,0.412947,0.293164,0.293927,-0.011254,-0.020409,0.997282,-0.007326,0.124542,0.114774,-0.124542,-0.021978,-0.036630,0.034188,1.935043,5.052991,1.135531,-0.002442,0.031746
1787275027.584075,1787275027.581027,3.048,1,1,-0.000968,0.399391,0.528482,-0.131142,-0.001611,-0.002881,1.000000,-0.006524,0.407016,0.294984,0.285933,-0.010625,-0.019570,0.997424,-0.006676,0.412947,0.293164,0.292020,-0.011254,-0.020790,0.997282,-0.002442,0.090354,0.085470,-0.344322,-0.007326,-0.065934,0.006838,2.058120,5.230769,1.164835,-0.002442,0.021978
1787275027.589072,1787275027.586026,3.045,1,1,-0.001783,0.401165,0.518482,-0.121142,-0.002989,-0.005385,1.000000,-0.006529,0.407043,0.295483,0.284805,-0.010636,-0.019588,0.997433,-0.006676,0.413329,0.293164,0.290112,-0.011254,-0.020409,0.997282,-0.002442,0.021978,0.007326,-0.227106,-0.021978,-0.021978,-0.020513,2.317949,5.449573,1.208791,0.007326,0.017094
1787275027.594072,1787275027.591026,3.046,1,1,-0.002482,0.402684,0.508483,-0.111144,-0.004169,-0.007531,1.000000,-0.006536,0.407074,0.295916,0.283744,-0.010649,-0.019611,0.997442,-0.006676,0.412947,0.293164,0.287823,-0.011254,-0.020790,0.997282,-0.002442,-0.007326,0.002442,-0.446886,-0.021978,-0.036630,-0.034188,2.427350,5.613675,1.179487,0.007326,0.012210
1787275027.599072,1787275027.596026,3.046,1,1,-0.003081,0.403987,0.498482,-0.101142,-0.005181,-0.009371,1.000000,-0.006544,0.407106,0.296282,0.282748,-0.010663,-0.019637,0.997451,-0.006676,0.412947,0.293164,0.283627,-0.011254,-0.020790,0.997282,-0.002442,-0.017094,-0.002442,-0.520147,-0.007326,-0.007326,-0.047863,2.468376,5.818803,1.384615,0.002442,0.021978
1787275027.604072,1787275027.601027,3.046,1,1,-0.003595,0.405104,0.488482,-0.091142,-0.006049,-0.010948,1.000000,-0.006553,0.407140,0.296582,0.281820,-0.010679,-0.019664,0.997460,-0.006676,0.412947,0.293164,0.282483,-0.011254,-0.020790,0.997282,-0.002442,-0.002442,-0.007326,-0.388278,-0.021978,0.021978,-0.047863,2.468376,5.914530,1.428571,-0.002442,0.012210
1787275027.609076,1787275027.606028,3.048,1,1,-0.004035,0.406061,0.478477,-0.081137,-0.006793,-0.012300,1.000000,-0.006561,0.407175,0.296815,0.280958,-0.010695,-0.019693,0.997469,-0.006676,0.413329,0.292782,0.276761,-0.011254,-0.020790,0.997282,-0.002442,0.026862,-0.031746,-0.769231,-0.007326,-0.036630,-0.034188,2.386325,6.119658,1.623932,-0.007326,0.002442
1787275027.614072,1787275027.611027,3.046,1,1,-0.004412,0.406881,0.468482,-0.071143,-0.007430,-0.013458,1.000000,-0.006570,0.407209,0.296981,0.280163,-0.010711,-0.019721,0.997477,-0.006676,0.413329,0.292401,0.272564,-0.011635,-0.020790,0.997282,-0.002442,0.017094,-0.075702,-0.578755,-0.021978,-0.007326,-0.034188,2.386325,6.270085,1.897436,-0.007326,0.002442
1787275027.619071,1787275027.616028,3.043,1,1,-0.004736,0.407584,0.458477,-0.061138,-0.007976,-0.014451,1.000000,-0.006579,0.407243,0.297081,0.279436,-0.010727,-0.019749,0.997486,-0.006676,0.413329,0.292401,0.272564,-0.011635,-0.020790,0.997282,-0.002442,0.017094,-0.075702,-0.578755,-0.021978,-0.007326,-0.034188,2.386325,6.270085,1.897436,-0.007326,0.002442
1787275027.624071,1787275027.621027,3.045,1,1,-0.005013,0.408187,0.448480,-0.051140,-0.008444,-0.015302,1.000000,-0.006587,0.407276,0.297114,0.278774,-0.010743,-0.019775,0.997495,-0.006676,0.413329,0.292020,0.270275,-0.011635,-0.020790,0.997282,0.002442,0.012210,-0.070818,-0.608059,-0.007326,0.007326,-0.034188,2.386325,6.379487,1.980464,-0.007326,0.002442
1787275027.629071,1787275027.626026,3.045,1,1,-0.005250,0.408703,0.438482,-0.041142,-0.008846,-0.016031,1.000000,-0.006595,0.407309,0.297080,0.278179,-0.010757,-0.019801,0.997504,-0.006676,0.413710,0.291257,0.264935,-0.011254,-0.020790,0.997282,-0.007326,0.036630,-0.095238,-0.666667,-0.007326,-0.021978,-0.047863,2.290598,6.625641,2.131868,-0.007326,-0.002442
1787275027.634072,1787275027.631026,3.046,1,1,-0.005454,0.409146,0.428481,-0.031142,-0.009190,-0.016657,1.000000,-0.006603,0.407340,0.296980,0.277650,-0.010771,-0.019825,0.997513,-0.006676,0.414092,0.290875,0.263409,-0.011635,-0.020790,0.997282,-0.002442,0.051282,-0.105006,-0.564103,-0.007326,0.007326,-0.047863,2.222222,6.694017,2.170940,-0.007326,-0.002442
